ID	TITLE
00001	AMST 201W                                                                       
00002	AMST 228                                                                        
00003	AMST 285                                                                        
00004	AMST 285                                                                        
00005	AMST 348                                                                        
00006	AMST 385                                                                        
00007	AMST 387RW                                                                      
00008	AMST 490W                                                                       
00009	AMST 495RW                                                                      
00010	AMST 498R                                                                       
