ID	TITLE
00001	ARTHIST 101                                                                     
00002	ARTHIST 103                                                                     
00003	ARTHIST 190                                                                     
00004	ARTHIST 210                                                                     
00005	ARTHIST 214                                                                     
00006	ARTHIST 232                                                                     
00007	ARTHIST 252                                                                     
00008	ARTHIST 262                                                                     
00009	ARTHIST 266                                                                     
00010	ARTHIST 275                                                                     
00011	ARTHIST 329                                                                     
00012	ARTHIST 329                                                                     
00013	ARTHIST 349R                                                                    
00014	ARTHIST 365                                                                     
00015	ARTHIST 369R                                                                    
00016	ARTHIST 387                                                                     
00017	ARTHIST 397R                                                                    
00018	ARTHIST 398R                                                                    
00019	ARTHIST 470RW                                                                   
00020	ARTHIST 475RW                                                                   
00021	ARTHIST 475RW                                                                   
00022	ARTHIST 480RW                                                                   
00023	ARTHIST 485RW                                                                   
00024	ARTHIST 495R                                                                    
00025	ARTHIST 590R                                                                    
00026	ARTHIST 592G                                                                    
00027	ARTHIST 719R                                                                    
00028	ARTHIST 729                                                                     
00029	ARTHIST 735                                                                     
00030	ARTHIST 739R                                                                    
00031	ARTHIST 759R                                                                    
00032	ARTHIST 775R                                                                    
00033	ARTHIST 790                                                                     
00034	ARTHIST 797R                                                                    
00035	ARTHIST 798R                                                                    
00036	ARTHIST 799R                                                                    
