ID	TITLE
00001	BIOL 120                                                                        
00002	BIOL 141                                                                        
00003	BIOL 141L                                                                       
00004	BIOL 190                                                                        
00005	BIOL 190                                                                        
00006	BIOL 190                                                                        
00007	BIOL 223                                                                        
00008	BIOL 240                                                                        
00009	BIOL 241                                                                        
00010	BIOL 247                                                                        
00011	BIOL 247LW                                                                      
00012	BIOL 250                                                                        
00013	BIOL 264                                                                        
00014	BIOL 285                                                                        
00015	BIOL 301                                                                        
00016	BIOL 320                                                                        
00017	BIOL 325                                                                        
00018	BIOL 336                                                                        
00019	BIOL 340                                                                        
00020	BIOL 345                                                                        
00021	BIOL 349                                                                        
00022	BIOL 360                                                                        
00023	BIOL 360L                                                                       
00024	BIOL 370                                                                        
00025	BIOL 370LW                                                                      
00026	BIOL 380                                                                        
00027	BIOL 385                                                                        
00028	BIOL 385                                                                        
00029	BIOL 442                                                                        
00030	BIOL 495A                                                                       
00031	BIOL 495BW                                                                      
00032	BIOL 497R                                                                       
00033	BIOL 499R                                                                       
