ID	TITLE
00001	DPT 730                                                                         
00002	DPT 735                                                                         
00003	DPT 740                                                                         
00004	DPT 745                                                                         
00005	DPT 750                                                                         
00006	DPT 810                                                                         
00007	DPT 815                                                                         
00008	DPT 820                                                                         
00009	DPT 825                                                                         
00010	DPT 9000R                                                                       
00011	DPT 910                                                                         
00012	DPT 915                                                                         
00013	DPT 930                                                                         
00014	DPT 935                                                                         
00015	DPT 946                                                                         
00016	DPT 951                                                                         
00017	DPT 952                                                                         
00018	DPT 953                                                                         
00019	DPT 954                                                                         
00020	DPT 956                                                                         
00021	DPT 958                                                                         
00022	DPT 959                                                                         
00023	DPT 960                                                                         
00024	DPT 961                                                                         
00025	DPT 963                                                                         
00026	DPT 964                                                                         
00027	DPT 966                                                                         
00028	DPT 968                                                                         
00029	DPT 969                                                                         
00030	DPT 970                                                                         
00031	DPT 972                                                                         
00032	DPT 973                                                                         
00033	DPT 974                                                                         
00034	DPT 975                                                                         
00035	DPT 979                                                                         
00036	DPT 990                                                                         
