ID	TITLE
00001	EAS 228                                                                         
00002	EAS 260                                                                         
00003	EAS 271W                                                                        
00004	EAS 272W                                                                        
00005	EAS 317                                                                         
00006	EAS 357                                                                         
00007	EAS 365                                                                         
00008	EAS 383                                                                         
00009	EAS 450W                                                                        
00010	EAS 453W                                                                        
00011	EAS 495A                                                                        
