ID	TITLE
00001	ECON 101                                                                        
00002	ECON 112                                                                        
00003	ECON 190                                                                        
00004	ECON 190                                                                        
00005	ECON 190                                                                        
00006	ECON 190                                                                        
00007	ECON 201                                                                        
00008	ECON 212                                                                        
00009	ECON 215                                                                        
00010	ECON 220                                                                        
00011	ECON 231                                                                        
00012	ECON 309W                                                                       
00013	ECON 310                                                                        
00014	ECON 320                                                                        
00015	ECON 330                                                                        
00016	ECON 333                                                                        
00017	ECON 341                                                                        
00018	ECON 362                                                                        
00019	ECON 363                                                                        
00020	ECON 364                                                                        
00021	ECON 366W                                                                       
00022	ECON 385                                                                        
00023	ECON 397R                                                                       
00024	ECON 400                                                                        
00025	ECON 410W                                                                       
00026	ECON 411                                                                        
00027	ECON 422                                                                        
00028	ECON 425                                                                        
00029	ECON 430                                                                        
00030	ECON 431                                                                        
00031	ECON 449                                                                        
00032	ECON 465                                                                        
00033	ECON 485                                                                        
00034	ECON 490R                                                                       
00035	ECON 495A                                                                       
00036	ECON 496R                                                                       
00037	ECON 496RW                                                                      
00038	ECON 500                                                                        
00039	ECON 510                                                                        
00040	ECON 520                                                                        
00041	ECON 522                                                                        
00042	ECON 526                                                                        
00043	ECON 593                                                                        
00044	ECON 599R                                                                       
00045	ECON 626                                                                        
00046	ECON 711                                                                        
00047	ECON 722                                                                        
00048	ECON 770                                                                        
00049	ECON 791G                                                                       
00050	ECON 791H                                                                       
00051	ECON 799R                                                                       
