ID	TITLE
00001	ENG 190                                                                         
00002	ENG 190                                                                         
00003	ENG 190                                                                         
00004	ENG 190                                                                         
00005	ENG 205                                                                         
00006	ENG 206W                                                                        
00007	ENG 210W                                                                        
00008	ENG 212W                                                                        
00009	ENG 213W                                                                        
00010	ENG 214W                                                                        
00011	ENG 215                                                                         
00012	ENG 255W                                                                        
00013	ENG 261                                                                         
00014	ENG 290                                                                         
00015	ENG 290W                                                                        
00016	ENG 290W                                                                        
00017	ENG 290W                                                                        
00018	ENG 290W                                                                        
00019	ENG 290W                                                                        
00020	ENG 311RW                                                                       
00021	ENG 325W                                                                        
00022	ENG 341W                                                                        
00023	ENG 355W                                                                        
00024	ENG 356W                                                                        
00025	ENG 359W                                                                        
00026	ENG 370W                                                                        
00027	ENG 383RW                                                                       
00028	ENG 384RW                                                                       
00029	ENG 385W                                                                        
00030	ENG 389W                                                                        
00031	ENG 389W                                                                        
00032	ENG 389W                                                                        
00033	ENG 389W                                                                        
00034	ENG 399R                                                                        
00035	ENG 399RW                                                                       
00036	ENG 480RW                                                                       
00037	ENG 482RW                                                                       
00038	ENG 482RW                                                                       
00039	ENG 489                                                                         
00040	ENG 489W                                                                        
00041	ENG 490W                                                                        
00042	ENG 495RW                                                                       
00043	ENG 496R                                                                        
00044	ENG 599R                                                                        
00045	ENG 711R                                                                        
00046	ENG 789                                                                         
00047	ENG 789                                                                         
00048	ENG 789                                                                         
00049	ENG 791                                                                         
00050	ENG 796R                                                                        
00051	ENG 797R                                                                        
00052	ENG 799R                                                                        
