ID	TITLE
00001	LING 151                                                                        
00002	LING 201                                                                        
00003	LING 210                                                                        
00004	LING 212W                                                                       
00005	LING 234                                                                        
00006	LING 303                                                                        
00007	LING 304                                                                        
00008	LING 311                                                                        
00009	LING 316                                                                        
00010	LING 333                                                                        
00011	LING 340W                                                                       
00012	LING 341                                                                        
00013	LING 385                                                                        
00014	LING 405W                                                                       
00015	LING 409                                                                        
00016	LING 410                                                                        
00017	LING 446W                                                                       
00018	LING 495A                                                                       
00019	LING 497R                                                                       
00020	LING 498R                                                                       
00021	LING 499R                                                                       
00022	LING 499R                                                                       
00023	LING 505                                                                        
