ID	TITLE
00001	MSCR 500                                                                        
00002	MSCR 530                                                                        
00003	MSCR 533                                                                        
00004	MSCR 594A                                                                       
00005	MSCR 594B                                                                       
00006	MSCR 595                                                                        
00007	MSCR 596                                                                        
00008	MSCR 598                                                                        
00009	MSCR 599R                                                                       
00010	MSCR 761                                                                        
