ID	TITLE
00001	POLS 100                                                                        
00002	POLS 110                                                                        
00003	POLS 111                                                                        
00004	POLS 120                                                                        
00005	POLS 150                                                                        
00006	POLS 190                                                                        
00007	POLS 190                                                                        
00008	POLS 190                                                                        
00009	POLS 190                                                                        
00010	POLS 201                                                                        
00011	POLS 202                                                                        
00012	POLS 208                                                                        
00013	POLS 223W                                                                       
00014	POLS 285                                                                        
00015	POLS 310W                                                                       
00016	POLS 315                                                                        
00017	POLS 333                                                                        
00018	POLS 342                                                                        
00019	POLS 346                                                                        
00020	POLS 352                                                                        
00021	POLS 360                                                                        
00022	POLS 370A                                                                       
00023	POLS 381                                                                        
00024	POLS 385                                                                        
00025	POLS 385                                                                        
00026	POLS 385W                                                                       
00027	POLS 387R                                                                       
00028	POLS 394                                                                        
00029	POLS 394                                                                        
00030	POLS 394W                                                                       
00031	POLS 396R                                                                       
00032	POLS 399R                                                                       
00033	POLS 486                                                                        
00034	POLS 487                                                                        
00035	POLS 490R                                                                       
00036	POLS 490RW                                                                      
00037	POLS 491                                                                        
00038	POLS 494                                                                        
00039	POLS 494                                                                        
00040	POLS 494W                                                                       
00041	POLS 495W                                                                       
00042	POLS 496RW                                                                      
00043	POLS 497R                                                                       
00044	POLS 507                                                                        
00045	POLS 508                                                                        
00046	POLS 514                                                                        
00047	POLS 520                                                                        
00048	POLS 551                                                                        
00049	POLS 570                                                                        
00050	POLS 585                                                                        
00051	POLS 585                                                                        
00052	POLS 585                                                                        
00053	POLS 585                                                                        
00054	POLS 585                                                                        
00055	POLS 599R                                                                       
00056	POLS 795                                                                        
00057	POLS 799R                                                                       
