ID	TITLE
00001	POLS_OX 101Q                                                                    
00002	POLS_OX 110                                                                     
00003	POLS_OX 111Q                                                                    
00004	POLS_OX 201W                                                                    
00005	POLS_OX 346                                                                     
00006	POLS_OX 354                                                                     
00007	POLS_OX 385R                                                                    
00008	POLS_OX 385R                                                                    
00009	POLS_OX 385R                                                                    
00010	POLS_OX 397R                                                                    
