ID	TITLE
00001	DPT 755                                                                         
00002	DPT 760                                                                         
00003	DPT 765                                                                         
00004	DPT 830                                                                         
00005	DPT 835                                                                         
00006	DPT 840                                                                         
00007	DPT 900                                                                         
00008	DPT 9000R                                                                       
00009	DPT 905                                                                         
00010	DPT 920                                                                         
00011	DPT 925                                                                         
00012	DPT 935A                                                                        
00013	DPT 938                                                                         
00014	DPT 940                                                                         
00015	DPT 941                                                                         
00016	DPT 942                                                                         
00017	DPT 943                                                                         
00018	DPT 944                                                                         
00019	DPT 945                                                                         
00020	DPT 946                                                                         
00021	DPT 951                                                                         
00022	DPT 952                                                                         
00023	DPT 955                                                                         
00024	DPT 956                                                                         
00025	DPT 957                                                                         
00026	DPT 959                                                                         
00027	DPT 963                                                                         
00028	DPT 965                                                                         
00029	DPT 970                                                                         
00030	DPT 972                                                                         
00031	DPT 973                                                                         
00032	DPT 976                                                                         
00033	DPT 977                                                                         
00034	DPT 978                                                                         
00035	DPT 980                                                                         
00036	DPT 982                                                                         
00037	DPT 984                                                                         
00038	DPT 986                                                                         
00039	DPT 988                                                                         
00040	DPT 990                                                                         
00041	DPT 992                                                                         
00042	DPT 994                                                                         
00043	DPT 996                                                                         
