ID	TITLE
00001	EAS 212                                                                         
00002	EAS 227                                                                         
00003	EAS 271W                                                                        
00004	EAS 276                                                                         
00005	EAS 279W                                                                        
00006	EAS 319                                                                         
00007	EAS 368W                                                                        
00008	EAS 379                                                                         
00009	EAS 385                                                                         
00010	EAS 385                                                                         
00011	EAS 385                                                                         
00012	EAS 453W                                                                        
00013	EAS 495BW                                                                       
