ID	TITLE
00001	FIN 201                                                                         
00002	FIN 220                                                                         
00003	FIN 320                                                                         
00004	FIN 321                                                                         
00005	FIN 322                                                                         
00006	FIN 399R                                                                        
00007	FIN 400                                                                         
00008	FIN 403                                                                         
00009	FIN 422                                                                         
00010	FIN 423                                                                         
00011	FIN 425                                                                         
00012	FIN 426                                                                         
00013	FIN 427                                                                         
00014	FIN 428                                                                         
00015	FIN 428B                                                                        
00016	FIN 430                                                                         
00017	FIN 483                                                                         
00018	FIN 484                                                                         
00019	FIN 486                                                                         
00020	FIN 495                                                                         
00021	FIN 501A                                                                        
00022	FIN 502                                                                         
00023	FIN 503                                                                         
00024	FIN 507                                                                         
00025	FIN 520                                                                         
00026	FIN 522                                                                         
00027	FIN 526                                                                         
00028	FIN 527                                                                         
00029	FIN 587                                                                         
00030	FIN 589B                                                                        
00031	FIN 620                                                                         
00032	FIN 622                                                                         
00033	FIN 624                                                                         
00034	FIN 625                                                                         
00035	FIN 626                                                                         
00036	FIN 627                                                                         
00037	FIN 628                                                                         
00038	FIN 630                                                                         
00039	FIN 681                                                                         
00040	FIN 683                                                                         
00041	FIN 684                                                                         
00042	FIN 686                                                                         
00043	FIN 695                                                                         
00044	FIN 722                                                                         
00045	FIN 723                                                                         
00046	FIN 725                                                                         
