ID	TITLE
00001	MTS 520GA                                                                       
00002	MTS 520GB                                                                       
00003	MTS 520MA                                                                       
00004	MTS 520MB                                                                       
00005	MTS 520TA                                                                       
00006	MTS 520TB                                                                       
00007	MTS 600G                                                                        
00008	MTS 600M                                                                        
00009	MTS 600T                                                                        
00010	MTS 999R                                                                        
