ID	TITLE
00001	PSYC_OX 110                                                                     
00002	PSYC_OX 111                                                                     
00003	PSYC_OX 205                                                                     
00004	PSYC_OX 210                                                                     
00005	PSYC_OX 211                                                                     
00006	PSYC_OX 222                                                                     
00007	PSYC_OX 223Q                                                                    
00008	PSYC_OX 304                                                                     
00009	PSYC_OX 360W                                                                    
00010	PSYC_OX 397R                                                                    
00011	PSYC_OX 397RE                                                                   
