ID	TITLE
00001	THEA 100                                                                        
00002	THEA 120                                                                        
00003	THEA 130                                                                        
00004	THEA 190                                                                        
00005	THEA 190                                                                        
00006	THEA 200R                                                                       
00007	THEA 210W                                                                       
00008	THEA 216                                                                        
00009	THEA 221                                                                        
00010	THEA 223                                                                        
00011	THEA 230                                                                        
00012	THEA 250                                                                        
00013	THEA 289                                                                        
00014	THEA 289                                                                        
00015	THEA 300R                                                                       
00016	THEA 319                                                                        
00017	THEA 320R                                                                       
00018	THEA 326                                                                        
00019	THEA 335                                                                        
00020	THEA 366W                                                                       
00021	THEA 370R                                                                       
00022	THEA 375RW                                                                      
00023	THEA 377W                                                                       
00024	THEA 385                                                                        
00025	THEA 385                                                                        
00026	THEA 385                                                                        
00027	THEA 385                                                                        
00028	THEA 385W                                                                       
00029	THEA 397R                                                                       
00030	THEA 400R                                                                       
00031	THEA 494RW                                                                      
00032	THEA 495R                                                                       
00033	THEA 496R                                                                       
00034	THEA 499R                                                                       
