ID	TITLE
00001	CHEM 150                                                                        
00002	CHEM 150L                                                                       
00003	CHEM 202                                                                        
00004	CHEM 202L                                                                       
00005	CHEM 203                                                                        
00006	CHEM 203L                                                                       
00007	CHEM 204                                                                        
00008	CHEM 204L                                                                       
00009	CHEM 327                                                                        
00010	CHEM 399R                                                                       
00011	CHEM 499R                                                                       
00012	CHEM 599R                                                                       
00013	CHEM 799R                                                                       
