ID	TITLE
00001	AAS 100                                                                         
00002	AAS 190                                                                         
00003	AAS 215                                                                         
00004	AAS 247                                                                         
00005	AAS 261                                                                         
00006	AAS 285                                                                         
00007	AAS 285                                                                         
00008	AAS 285                                                                         
00009	AAS 285                                                                         
00010	AAS 285W                                                                        
00011	AAS 285W                                                                        
00012	AAS 303                                                                         
00013	AAS 320R                                                                        
00014	AAS 359                                                                         
00015	AAS 359                                                                         
00016	AAS 385                                                                         
00017	AAS 385                                                                         
00018	AAS 385                                                                         
00019	AAS 387RW                                                                       
00020	AAS 388                                                                         
00021	AAS 485W                                                                        
00022	AAS 495A                                                                        
