ID	TITLE
00001	FIN 201                                                                         
00002	FIN 220                                                                         
00003	FIN 320                                                                         
00004	FIN 324                                                                         
00005	FIN 389                                                                         
00006	FIN 400                                                                         
00007	FIN 401                                                                         
00008	FIN 409                                                                         
00009	FIN 423                                                                         
00010	FIN 424                                                                         
00011	FIN 425                                                                         
00012	FIN 427                                                                         
00013	FIN 429                                                                         
00014	FIN 481                                                                         
00015	FIN 482                                                                         
00016	FIN 485                                                                         
00017	FIN 488                                                                         
00018	FIN 501                                                                         
00019	FIN 503                                                                         
00020	FIN 520                                                                         
00021	FIN 589                                                                         
00022	FIN 622                                                                         
00023	FIN 623                                                                         
00024	FIN 625                                                                         
00025	FIN 627                                                                         
00026	FIN 628                                                                         
00027	FIN 629                                                                         
00028	FIN 657                                                                         
00029	FIN 658                                                                         
00030	FIN 659                                                                         
00031	FIN 660                                                                         
00032	FIN 666                                                                         
00033	FIN 667                                                                         
00034	FIN 671                                                                         
00035	FIN 672                                                                         
00036	FIN 680                                                                         
00037	FIN 682                                                                         
00038	FIN 685                                                                         
00039	FIN 688                                                                         
00040	FIN 692                                                                         
00041	FIN 723A                                                                        
00042	FIN 724A                                                                        
00043	FIN 724B                                                                        
