ID	TITLE
00001	HLTH 100                                                                        
00002	HLTH 190                                                                        
00003	HLTH 190                                                                        
00004	HLTH 207                                                                        
00005	HLTH 220                                                                        
00006	HLTH 230                                                                        
00007	HLTH 250                                                                        
00008	HLTH 285                                                                        
00009	HLTH 300R                                                                       
00010	HLTH 310                                                                        
00011	HLTH 314                                                                        
00012	HLTH 317                                                                        
00013	HLTH 320                                                                        
00014	HLTH 323                                                                        
00015	HLTH 328                                                                        
00016	HLTH 333                                                                        
00017	HLTH 340                                                                        
00018	HLTH 350R                                                                       
00019	HLTH 350R                                                                       
00020	HLTH 373                                                                        
00021	HLTH 379                                                                        
00022	HLTH 385                                                                        
00023	HLTH 385                                                                        
00024	HLTH 385                                                                        
00025	HLTH 385                                                                        
00026	HLTH 385                                                                        
00027	HLTH 385                                                                        
00028	HLTH 385                                                                        
00029	HLTH 385W                                                                       
00030	HLTH 390                                                                        
00031	HLTH 397R                                                                       
00032	HLTH 399R                                                                       
00033	HLTH 485                                                                        
00034	HLTH 485                                                                        
00035	HLTH 495A                                                                       
00036	HLTH 497R                                                                       
00037	HLTH 499R                                                                       
