ID	TITLE
00001	SPAN 101                                                                        
00002	SPAN 150                                                                        
00003	SPAN 201                                                                        
00004	SPAN 205                                                                        
00005	SPAN 212                                                                        
00006	SPAN 215                                                                        
00007	SPAN 285                                                                        
00008	SPAN 301W                                                                       
00009	SPAN 302                                                                        
00010	SPAN 302W                                                                       
00011	SPAN 303                                                                        
00012	SPAN 304                                                                        
00013	SPAN 309                                                                        
00014	SPAN 310                                                                        
00015	SPAN 312                                                                        
00016	SPAN 318                                                                        
00017	SPAN 318W                                                                       
00018	SPAN 319                                                                        
00019	SPAN 331                                                                        
00020	SPAN 336                                                                        
00021	SPAN 385                                                                        
00022	SPAN 410                                                                        
00023	SPAN 410                                                                        
00024	SPAN 413                                                                        
00025	SPAN 424                                                                        
00026	SPAN 485                                                                        
00027	SPAN 485                                                                        
00028	SPAN 485                                                                        
00029	SPAN 495A                                                                       
