ID	TITLE
00001	AAS 100                                                                         
00002	AAS 190                                                                         
00003	AAS 239                                                                         
00004	AAS 247                                                                         
00005	AAS 262                                                                         
00006	AAS 285                                                                         
00007	AAS 285                                                                         
00008	AAS 285                                                                         
00009	AAS 285                                                                         
00010	AAS 303                                                                         
00011	AAS 320R                                                                        
00012	AAS 344                                                                         
00013	AAS 384                                                                         
00014	AAS 385                                                                         
00015	AAS 385                                                                         
00016	AAS 385                                                                         
00017	AAS 385                                                                         
00018	AAS 385                                                                         
00019	AAS 385                                                                         
00020	AAS 385                                                                         
00021	AAS 385                                                                         
00022	AAS 385W                                                                        
00023	AAS 490R                                                                        
00024	AAS 495BW                                                                       
