ID	TITLE
00001	ARTHIST 102                                                                     
00002	ARTHIST 190                                                                     
00003	ARTHIST 203                                                                     
00004	ARTHIST 210                                                                     
00005	ARTHIST 212                                                                     
00006	ARTHIST 213                                                                     
00007	ARTHIST 221                                                                     
00008	ARTHIST 222                                                                     
00009	ARTHIST 226                                                                     
00010	ARTHIST 276                                                                     
00011	ARTHIST 290R                                                                    
00012	ARTHIST 319R                                                                    
00013	ARTHIST 329                                                                     
00014	ARTHIST 329                                                                     
00015	ARTHIST 340                                                                     
00016	ARTHIST 359R                                                                    
00017	ARTHIST 365                                                                     
00018	ARTHIST 369R                                                                    
00019	ARTHIST 369R                                                                    
00020	ARTHIST 387                                                                     
00021	ARTHIST 393R                                                                    
00022	ARTHIST 397R                                                                    
00023	ARTHIST 398R                                                                    
00024	ARTHIST 475RW                                                                   
00025	ARTHIST 475RW                                                                   
00026	ARTHIST 480RW                                                                   
00027	ARTHIST 480RW                                                                   
00028	ARTHIST 485RW                                                                   
00029	ARTHIST 495R                                                                    
00030	ARTHIST 495RW                                                                   
00031	ARTHIST 729                                                                     
00032	ARTHIST 739R                                                                    
00033	ARTHIST 759R                                                                    
00034	ARTHIST 769                                                                     
00035	ARTHIST 769                                                                     
00036	ARTHIST 791                                                                     
00037	ARTHIST 797R                                                                    
00038	ARTHIST 798R                                                                    
00039	ARTHIST 799R                                                                    
