ID	TITLE
00001	BIOL 120                                                                        
00002	BIOL 142                                                                        
00003	BIOL 142L                                                                       
00004	BIOL 190                                                                        
00005	BIOL 190                                                                        
00006	BIOL 200                                                                        
00007	BIOL 212                                                                        
00008	BIOL 223                                                                        
00009	BIOL 240                                                                        
00010	BIOL 241                                                                        
00011	BIOL 250                                                                        
00012	BIOL 264                                                                        
00013	BIOL 285                                                                        
00014	BIOL 301                                                                        
00015	BIOL 315                                                                        
00016	BIOL 320                                                                        
00017	BIOL 336                                                                        
00018	BIOL 342                                                                        
00019	BIOL 345                                                                        
00020	BIOL 351                                                                        
00021	BIOL 360                                                                        
00022	BIOL 370                                                                        
00023	BIOL 370LW                                                                      
00024	BIOL 371                                                                        
00025	BIOL 372                                                                        
00026	BIOL 385                                                                        
00027	BIOL 385                                                                        
00028	BIOL 386                                                                        
00029	BIOL 415                                                                        
00030	BIOL 434                                                                        
00031	BIOL 440W                                                                       
00032	BIOL 450                                                                        
00033	BIOL 460                                                                        
00034	BIOL 465                                                                        
00035	BIOL 470W                                                                       
00036	BIOL 475                                                                        
00037	BIOL 485                                                                        
00038	BIOL 495A                                                                       
00039	BIOL 495BW                                                                      
00040	BIOL 497R                                                                       
00041	BIOL 499R                                                                       
