ID	TITLE
00001	CS 170                                                                          
00002	CS 171                                                                          
00003	CS 224                                                                          
00004	CS 253                                                                          
00005	CS 255                                                                          
00006	CS 325                                                                          
00007	CS 326                                                                          
00008	CS 329                                                                          
00009	CS 350                                                                          
00010	CS 355                                                                          
00011	CS 370                                                                          
00012	CS 377                                                                          
00013	CS 424                                                                          
00014	CS 452                                                                          
00015	CS 453                                                                          
00016	CS 470                                                                          
00017	CS 485                                                                          
00018	CS 485                                                                          
00019	CS 495RW                                                                        
00020	CS 497R                                                                         
00021	CS 524                                                                          
00022	CS 534                                                                          
00023	CS 553                                                                          
00024	CS 570                                                                          
00025	CS 573                                                                          
00026	CS 580                                                                          
00027	CS 584                                                                          
00028	CS 590                                                                          
00029	CS 596R                                                                         
00030	CS 597R                                                                         
00031	CS 598R                                                                         
00032	CS 599R                                                                         
00033	CS 700R                                                                         
00034	CS 799R                                                                         
