ID	TITLE
00001	ECON 101                                                                        
00002	ECON 112                                                                        
00003	ECON 190                                                                        
00004	ECON 201                                                                        
00005	ECON 212                                                                        
00006	ECON 215                                                                        
00007	ECON 220                                                                        
00008	ECON 231                                                                        
00009	ECON 309W                                                                       
00010	ECON 315                                                                        
00011	ECON 320                                                                        
00012	ECON 333                                                                        
00013	ECON 341                                                                        
00014	ECON 362                                                                        
00015	ECON 371                                                                        
00016	ECON 372                                                                        
00017	ECON 385                                                                        
00018	ECON 385                                                                        
00019	ECON 385                                                                        
00020	ECON 385W                                                                       
00021	ECON 394                                                                        
00022	ECON 397R                                                                       
00023	ECON 405                                                                        
00024	ECON 410W                                                                       
00025	ECON 411                                                                        
00026	ECON 411W                                                                       
00027	ECON 421                                                                        
00028	ECON 422W                                                                       
00029	ECON 423                                                                        
00030	ECON 425                                                                        
00031	ECON 432                                                                        
00032	ECON 433                                                                        
00033	ECON 434                                                                        
00034	ECON 442                                                                        
00035	ECON 449                                                                        
00036	ECON 470                                                                        
00037	ECON 487                                                                        
00038	ECON 495BW                                                                      
00039	ECON 496R                                                                       
00040	ECON 496RW                                                                      
00041	ECON 501                                                                        
00042	ECON 502                                                                        
00043	ECON 511                                                                        
00044	ECON 521                                                                        
00045	ECON 597R                                                                       
00046	ECON 599R                                                                       
00047	ECON 726                                                                        
00048	ECON 777                                                                        
00049	ECON 791H                                                                       
00050	ECON 799R                                                                       
