ID	TITLE
00001	ITAL 101                                                                        
00002	ITAL 102                                                                        
00003	ITAL 190                                                                        
00004	ITAL 202                                                                        
00005	ITAL 301                                                                        
00006	ITAL 302                                                                        
00007	ITAL 302W                                                                       
00008	ITAL 360W                                                                       
00009	ITAL 375                                                                        
00010	ITAL 376                                                                        
00011	ITAL 376                                                                        
00012	ITAL 397R                                                                       
00013	ITAL 470                                                                        
00014	ITAL 495BW                                                                      
00015	ITAL 497R                                                                       
