ID	TITLE
00001	PHIL 100                                                                        
00002	PHIL 110                                                                        
00003	PHIL 114                                                                        
00004	PHIL 115                                                                        
00005	PHIL 116                                                                        
00006	PHIL 117                                                                        
00007	PHIL 131                                                                        
00008	PHIL 132                                                                        
00009	PHIL 134                                                                        
00010	PHIL 185                                                                        
00011	PHIL 190                                                                        
00012	PHIL 200W                                                                       
00013	PHIL 202                                                                        
00014	PHIL 202W                                                                       
00015	PHIL 204W                                                                       
00016	PHIL 220W                                                                       
00017	PHIL 285                                                                        
00018	PHIL 285                                                                        
00019	PHIL 285                                                                        
00020	PHIL 285                                                                        
00021	PHIL 300                                                                        
00022	PHIL 321                                                                        
00023	PHIL 341                                                                        
00024	PHIL 385                                                                        
00025	PHIL 385                                                                        
00026	PHIL 385                                                                        
00027	PHIL 385W                                                                       
00028	PHIL 400W                                                                       
00029	PHIL 406W                                                                       
00030	PHIL 440W                                                                       
00031	PHIL 482W                                                                       
00032	PHIL 488W                                                                       
00033	PHIL 495A                                                                       
00034	PHIL 495B                                                                       
00035	PHIL 497R                                                                       
00036	PHIL 500R                                                                       
00037	PHIL 550R                                                                       
00038	PHIL 574R                                                                       
00039	PHIL 599R                                                                       
00040	PHIL 777                                                                        
00041	PHIL 789                                                                        
00042	PHIL 789                                                                        
00043	PHIL 789                                                                        
00044	PHIL 789                                                                        
00045	PHIL 789                                                                        
00046	PHIL 797R                                                                       
00047	PHIL 799R                                                                       
