ID	TITLE
00001	PSYC 110                                                                        
00002	PSYC 111                                                                        
00003	PSYC 205                                                                        
00004	PSYC 210                                                                        
00005	PSYC 215                                                                        
00006	PSYC 320                                                                        
00007	PSYC 353                                                                        
00008	PSYC 385                                                                        
00009	PSYC 386W                                                                       
00010	PSYC 387W                                                                       
00011	PSYC 494R                                                                       
00012	PSYC 498R                                                                       
00013	PSYC 499R                                                                       
00014	PSYC 597R                                                                       
00015	PSYC 599R                                                                       
00016	PSYC 750R                                                                       
00017	PSYC 750R                                                                       
00018	PSYC 750R                                                                       
00019	PSYC 750R                                                                       
00020	PSYC 750R                                                                       
00021	PSYC 770R                                                                       
00022	PSYC 770R                                                                       
00023	PSYC 770R                                                                       
00024	PSYC 770R                                                                       
00025	PSYC 797R                                                                       
00026	PSYC 799R                                                                       
