ID	TITLE
00001	CHEM 150                                                                        
00002	CHEM 150L                                                                       
00003	CHEM 157                                                                        
00004	CHEM 202Z                                                                       
00005	CHEM 202ZL                                                                      
00006	CHEM 203                                                                        
00007	CHEM 203L                                                                       
00008	CHEM 204                                                                        
00009	CHEM 204L                                                                       
00010	CHEM 205                                                                        
00011	CHEM 205L                                                                       
00012	CHEM 300L                                                                       
00013	CHEM 333                                                                        
00014	CHEM 340                                                                        
00015	CHEM 350                                                                        
00016	CHEM 370                                                                        
00017	CHEM 371LW                                                                      
00018	CHEM 392R                                                                       
00019	CHEM 399R                                                                       
00020	CHEM 470                                                                        
00021	CHEM 495RW                                                                      
00022	CHEM 496R                                                                       
00023	CHEM 499R                                                                       
00024	CHEM 504                                                                        
00025	CHEM 521                                                                        
00026	CHEM 522                                                                        
00027	CHEM 531                                                                        
00028	CHEM 533                                                                        
00029	CHEM 536                                                                        
00030	CHEM 571                                                                        
00031	CHEM 574                                                                        
00032	CHEM 599R                                                                       
00033	CHEM 729R                                                                       
00034	CHEM 729R                                                                       
00035	CHEM 798B                                                                       
00036	CHEM 798C                                                                       
00037	CHEM 798D                                                                       
00038	CHEM 799R                                                                       
