ID	TITLE
00001	ITAL 101                                                                        
00002	ITAL 110                                                                        
00003	ITAL 190                                                                        
00004	ITAL 201                                                                        
00005	ITAL 202                                                                        
00006	ITAL 301W                                                                       
00007	ITAL 341                                                                        
00008	ITAL 365                                                                        
00009	ITAL 375                                                                        
00010	ITAL 376                                                                        
00011	ITAL 397R                                                                       
00012	ITAL 470W                                                                       
00013	ITAL 495A                                                                       
