ID	TITLE
00001	JPN 101                                                                         
00002	JPN 102                                                                         
00003	JPN 201                                                                         
00004	JPN 202                                                                         
00005	JPN 234                                                                         
00006	JPN 301                                                                         
00007	JPN 315R                                                                        
00008	JPN 361                                                                         
00009	JPN 372W                                                                        
00010	JPN 401                                                                         
00011	JPN 402                                                                         
00012	JPN 403                                                                         
00013	JPN 404                                                                         
