ID	TITLE
00001	PHIL 100                                                                        
00002	PHIL 110                                                                        
00003	PHIL 111                                                                        
00004	PHIL 115                                                                        
00005	PHIL 116                                                                        
00006	PHIL 117                                                                        
00007	PHIL 120                                                                        
00008	PHIL 124                                                                        
00009	PHIL 127                                                                        
00010	PHIL 128                                                                        
00011	PHIL 130                                                                        
00012	PHIL 185                                                                        
00013	PHIL 190                                                                        
00014	PHIL 200W                                                                       
00015	PHIL 202W                                                                       
00016	PHIL 204W                                                                       
00017	PHIL 220W                                                                       
00018	PHIL 300                                                                        
00019	PHIL 318                                                                        
00020	PHIL 321                                                                        
00021	PHIL 385                                                                        
00022	PHIL 385                                                                        
00023	PHIL 385                                                                        
00024	PHIL 385                                                                        
00025	PHIL 385                                                                        
00026	PHIL 385W                                                                       
00027	PHIL 385W                                                                       
00028	PHIL 400W                                                                       
00029	PHIL 405W                                                                       
00030	PHIL 405W                                                                       
00031	PHIL 411                                                                        
00032	PHIL 420W                                                                       
00033	PHIL 488W                                                                       
00034	PHIL 495A                                                                       
00035	PHIL 497R                                                                       
00036	PHIL 525                                                                        
00037	PHIL 571R                                                                       
00038	PHIL 599R                                                                       
00039	PHIL 700                                                                        
00040	PHIL 777                                                                        
00041	PHIL 789                                                                        
00042	PHIL 789                                                                        
00043	PHIL 789                                                                        
00044	PHIL 789                                                                        
00045	PHIL 789                                                                        
00046	PHIL 789                                                                        
00047	PHIL 797R                                                                       
00048	PHIL 799R                                                                       
