ID	TITLE
00001	ANT 190                                                                         
00002	ANT 190                                                                         
00003	ANT 201                                                                         
00004	ANT 202                                                                         
00005	ANT 203                                                                         
00006	ANT 204                                                                         
00007	ANT 205                                                                         
00008	ANT 208                                                                         
00009	ANT 230                                                                         
00010	ANT 231                                                                         
00011	ANT 280R                                                                        
00012	ANT 285                                                                         
00013	ANT 285                                                                         
00014	ANT 285                                                                         
00015	ANT 285                                                                         
00016	ANT 304W                                                                        
00017	ANT 305                                                                         
00018	ANT 332                                                                         
00019	ANT 376W                                                                        
00020	ANT 385                                                                         
00021	ANT 385                                                                         
00022	ANT 385                                                                         
00023	ANT 386                                                                         
00024	ANT 390                                                                         
00025	ANT 391                                                                         
00026	ANT 440                                                                         
00027	ANT 495BW                                                                       
00028	ANT 497R                                                                        
00029	ANT 498                                                                         
00030	ANT 501                                                                         
00031	ANT 502                                                                         
00032	ANT 555R                                                                        
00033	ANT 585                                                                         
00034	ANT 585                                                                         
00035	ANT 585                                                                         
00036	ANT 797R                                                                        
00037	ANT 798R                                                                        
00038	ANT 799R                                                                        
