ID	TITLE
00001	CL 102                                                                          
00002	CL 150                                                                          
00003	CL 190                                                                          
00004	CL 202                                                                          
00005	CL 203                                                                          
00006	CL 222                                                                          
00007	CL 227                                                                          
00008	CL 285                                                                          
00009	CL 317                                                                          
00010	CL 325W                                                                         
00011	CL 329R                                                                         
00012	CL 329RW                                                                        
00013	CL 398R                                                                         
00014	CL 487W                                                                         
00015	CL 487W                                                                         
00016	CL 495RW                                                                        
00017	CL 498R                                                                         
00018	CL 597R                                                                         
