ID	TITLE
00001	GER 100R                                                                        
00002	GER 102                                                                         
00003	GER 190                                                                         
00004	GER 192R                                                                        
00005	GER 202                                                                         
00006	GER 302W                                                                        
00007	GER 320                                                                         
00008	GER 375                                                                         
00009	GER 375                                                                         
00010	GER 375                                                                         
00011	GER 380                                                                         
00012	GER 380                                                                         
00013	GER 392R                                                                        
00014	GER 470                                                                         
00015	GER 497R                                                                        
