ID	TITLE
00001	JPN 102                                                                         
00002	JPN 201                                                                         
00003	JPN 202                                                                         
00004	JPN 302                                                                         
00005	JPN 314R                                                                        
00006	JPN 315R                                                                        
00007	JPN 338                                                                         
00008	JPN 378W                                                                        
00009	JPN 401                                                                         
00010	JPN 402                                                                         
00011	JPN 404                                                                         
00012	JPN 451RW                                                                       
