ID	TITLE
00001	LACS 190                                                                        
00002	LACS 265W                                                                       
00003	LACS 270                                                                        
00004	LACS 270                                                                        
00005	LACS 270                                                                        
00006	LACS 270                                                                        
00007	LACS 270                                                                        
00008	LACS 363W                                                                       
00009	LACS 385                                                                        
00010	LACS 385                                                                        
00011	LACS 490R                                                                       
00012	LACS 495BW                                                                      
