ID	TITLE
00001	LING 101                                                                        
00002	LING 151                                                                        
00003	LING 190                                                                        
00004	LING 201                                                                        
00005	LING 210                                                                        
00006	LING 242                                                                        
00007	LING 285                                                                        
00008	LING 303                                                                        
00009	LING 304                                                                        
00010	LING 316                                                                        
00011	LING 329                                                                        
00012	LING 338                                                                        
00013	LING 339                                                                        
00014	LING 342                                                                        
00015	LING 385                                                                        
00016	LING 385                                                                        
00017	LING 385                                                                        
00018	LING 401W                                                                       
00019	LING 410                                                                        
00020	LING 446W                                                                       
00021	LING 485W                                                                       
00022	LING 495BW                                                                      
00023	LING 498R                                                                       
00024	LING 498R                                                                       
00025	LING 498R                                                                       
00026	LING 499R                                                                       
