ID	TITLE
00001	MUS 114                                                                         
00002	MUS 122                                                                         
00003	MUS 190                                                                         
00004	MUS 190                                                                         
00005	MUS 200                                                                         
00006	MUS 212                                                                         
00007	MUS 222                                                                         
00008	MUS 245                                                                         
00009	MUS 270                                                                         
00010	MUS 282                                                                         
00011	MUS 283                                                                         
00012	MUS 290R                                                                        
00013	MUS 300R                                                                        
00014	MUS 300R                                                                        
00015	MUS 300R                                                                        
00016	MUS 300R                                                                        
00017	MUS 300R                                                                        
00018	MUS 300R                                                                        
00019	MUS 300R                                                                        
00020	MUS 300R                                                                        
00021	MUS 300R                                                                        
00022	MUS 301R                                                                        
00023	MUS 303                                                                         
00024	MUS 304                                                                         
00025	MUS 306W                                                                        
00026	MUS 309                                                                         
00027	MUS 310R                                                                        
00028	MUS 310R                                                                        
00029	MUS 310R                                                                        
00030	MUS 310R                                                                        
00031	MUS 310R                                                                        
00032	MUS 310R                                                                        
00033	MUS 310R                                                                        
00034	MUS 310R                                                                        
00035	MUS 320R                                                                        
00036	MUS 320R                                                                        
00037	MUS 320R                                                                        
00038	MUS 320R                                                                        
00039	MUS 320R                                                                        
00040	MUS 320R                                                                        
00041	MUS 320R                                                                        
00042	MUS 320R                                                                        
00043	MUS 340                                                                         
00044	MUS 349R                                                                        
00045	MUS 370                                                                         
00046	MUS 370                                                                         
00047	MUS 370                                                                         
00048	MUS 370                                                                         
00049	MUS 370                                                                         
00050	MUS 374                                                                         
00051	MUS 376W                                                                        
00052	MUS 384                                                                         
00053	MUS 390R                                                                        
00054	MUS 399R                                                                        
00055	MUS 445                                                                         
00056	MUS 470W                                                                        
00057	MUS 490R                                                                        
00058	MUS 495B                                                                        
