ID	TITLE
00001	NBB 190                                                                         
00002	NBB 299                                                                         
00003	NBB 300                                                                         
00004	NBB 301                                                                         
00005	NBB 302                                                                         
00006	NBB 361W                                                                        
00007	NBB 370                                                                         
00008	NBB 370                                                                         
00009	NBB 370                                                                         
00010	NBB 370                                                                         
00011	NBB 370                                                                         
00012	NBB 370                                                                         
00013	NBB 380                                                                         
00014	NBB 399R                                                                        
00015	NBB 402                                                                         
00016	NBB 424                                                                         
00017	NBB 426                                                                         
00018	NBB 470                                                                         
00019	NBB 471                                                                         
00020	NBB 471                                                                         
00021	NBB 480                                                                         
00022	NBB 482R                                                                        
00023	NBB 495A                                                                        
00024	NBB 495BW                                                                       
00025	NBB 497W                                                                        
00026	NBB 498R                                                                        
00027	NBB 499R                                                                        
