ID	TITLE
00001	POLS 100                                                                        
00002	POLS 110                                                                        
00003	POLS 111                                                                        
00004	POLS 150                                                                        
00005	POLS 190                                                                        
00006	POLS 190                                                                        
00007	POLS 201                                                                        
00008	POLS 202                                                                        
00009	POLS 208                                                                        
00010	POLS 303                                                                        
00011	POLS 304                                                                        
00012	POLS 313W                                                                       
00013	POLS 319                                                                        
00014	POLS 325                                                                        
00015	POLS 326                                                                        
00016	POLS 333                                                                        
00017	POLS 334                                                                        
00018	POLS 353                                                                        
00019	POLS 357                                                                        
00020	POLS 369                                                                        
00021	POLS 370B                                                                       
00022	POLS 370L                                                                       
00023	POLS 371                                                                        
00024	POLS 374W                                                                       
00025	POLS 376                                                                        
00026	POLS 385                                                                        
00027	POLS 385                                                                        
00028	POLS 385                                                                        
00029	POLS 385                                                                        
00030	POLS 385                                                                        
00031	POLS 385                                                                        
00032	POLS 387R                                                                       
00033	POLS 394                                                                        
00034	POLS 394                                                                        
00035	POLS 396R                                                                       
00036	POLS 399R                                                                       
00037	POLS 486                                                                        
00038	POLS 487                                                                        
00039	POLS 490R                                                                       
00040	POLS 494                                                                        
00041	POLS 494W                                                                       
00042	POLS 494W                                                                       
00043	POLS 494W                                                                       
00044	POLS 496R                                                                       
00045	POLS 497R                                                                       
00046	POLS 499                                                                        
00047	POLS 509                                                                        
00048	POLS 513                                                                        
00049	POLS 515                                                                        
00050	POLS 519                                                                        
00051	POLS 540                                                                        
00052	POLS 556                                                                        
00053	POLS 567                                                                        
00054	POLS 585                                                                        
00055	POLS 585                                                                        
00056	POLS 585                                                                        
00057	POLS 585                                                                        
00058	POLS 599R                                                                       
00059	POLS 790                                                                        
00060	POLS 797R                                                                       
00061	POLS 799R                                                                       
