ID	TITLE
00001	ENG 210W                                                                        
00002	ENG 212W                                                                        
00003	ENG 308W                                                                        
00004	ENG 359                                                                         
00005	ENG 359                                                                         
00006	ENG 368W                                                                        
00007	ENG 389                                                                         
00008	ENG 389W                                                                        
00009	ENG 389W                                                                        
00010	ENG 389W                                                                        
00011	ENG 599R                                                                        
00012	ENG 789                                                                         
00013	ENG 797R                                                                        
00014	ENG 799R                                                                        
