ID	TITLE
00001	ANT 101                                                                         
00002	ANT 190                                                                         
00003	ANT 200                                                                         
00004	ANT 201                                                                         
00005	ANT 202                                                                         
00006	ANT 203                                                                         
00007	ANT 204                                                                         
00008	ANT 205                                                                         
00009	ANT 207                                                                         
00010	ANT 258                                                                         
00011	ANT 265                                                                         
00012	ANT 285                                                                         
00013	ANT 285                                                                         
00014	ANT 285                                                                         
00015	ANT 285                                                                         
00016	ANT 325                                                                         
00017	ANT 332                                                                         
00018	ANT 334                                                                         
00019	ANT 339                                                                         
00020	ANT 349                                                                         
00021	ANT 351W                                                                        
00022	ANT 377W                                                                        
00023	ANT 379W                                                                        
00024	ANT 385                                                                         
00025	ANT 385                                                                         
00026	ANT 385                                                                         
00027	ANT 386                                                                         
00028	ANT 386                                                                         
00029	ANT 397R                                                                        
00030	ANT 455W                                                                        
00031	ANT 485                                                                         
00032	ANT 495A                                                                        
00033	ANT 499                                                                         
00034	ANT 500                                                                         
00035	ANT 585                                                                         
00036	ANT 585                                                                         
00037	ANT 585                                                                         
00038	ANT 585                                                                         
00039	ANT 585                                                                         
00040	ANT 585                                                                         
