ID	TITLE
00001	CHEM_OX 150                                                                     
00002	CHEM_OX 150L                                                                    
00003	CHEM_OX 151                                                                     
00004	CHEM_OX 202                                                                     
00005	CHEM_OX 202L                                                                    
00006	CHEM_OX 203                                                                     
00007	CHEM_OX 203L                                                                    
00008	CHEM_OX 261                                                                     
00009	CHEM_OX 397R                                                                    
00010	CHEM_OX 399RE                                                                   
