ID	TITLE
00001	CHN 101                                                                         
00002	CHN 103                                                                         
00003	CHN 201                                                                         
00004	CHN 272                                                                         
00005	CHN 278                                                                         
00006	CHN 285                                                                         
00007	CHN 301                                                                         
00008	CHN 303W                                                                        
00009	CHN 375                                                                         
00010	CHN 388                                                                         
00011	CHN 392R                                                                        
00012	CHN 401W                                                                        
