ID	TITLE
00001	HGC 705                                                                         
00002	HGC 707                                                                         
00003	HGC 715                                                                         
00004	HGC 720                                                                         
00005	HGC 725                                                                         
00006	HGC 730A                                                                        
00007	HGC 730C                                                                        
00008	HGC 735A                                                                        
00009	HGC 735F                                                                        
00010	HGC 735G                                                                        
00011	HGC 740A                                                                        
00012	HGC 740D                                                                        
00013	HGC 745A                                                                        
00014	HGC 810                                                                         
00015	HGC 815A                                                                        
