ID	TITLE
00001	MI 201                                                                          
00002	MI 203                                                                          
00003	MI 211A                                                                         
00004	MI 213A                                                                         
00005	MI 213D                                                                         
00006	MI 221A                                                                         
00007	MI 221C                                                                         
00008	MI 261A                                                                         
00009	MI 325B                                                                         
00010	MI 327                                                                          
00011	MI 361B                                                                         
00012	MI 390R                                                                         
00013	MI 411                                                                          
00014	MI 423                                                                          
00015	MI 425                                                                          
00016	MI 433                                                                          
00017	MI 435                                                                          
00018	MI 443R                                                                         
00019	MI 445R                                                                         
00020	MI 451B                                                                         
00021	MI 453B                                                                         
00022	MI 455B                                                                         
00023	MI 457B                                                                         
00024	MI 457B                                                                         
00025	MI 461B                                                                         
00026	MI 463B                                                                         
00027	MI 465B                                                                         
00028	MI 467B                                                                         
00029	MI 469B                                                                         
00030	MI 469B                                                                         
00031	MI 496R                                                                         
00032	MI 497R                                                                         
