ID	TITLE
00001	SOC 101                                                                         
00002	SOC 190                                                                         
00003	SOC 190                                                                         
00004	SOC 190                                                                         
00005	SOC 190                                                                         
00006	SOC 213                                                                         
00007	SOC 214                                                                         
00008	SOC 221                                                                         
00009	SOC 225                                                                         
00010	SOC 240                                                                         
00011	SOC 245                                                                         
00012	SOC 247                                                                         
00013	SOC 250                                                                         
00014	SOC 275                                                                         
00015	SOC 289                                                                         
00016	SOC 315                                                                         
00017	SOC 334                                                                         
00018	SOC 348                                                                         
00019	SOC 355W                                                                        
00020	SOC 370A                                                                        
00021	SOC 377                                                                         
00022	SOC 389                                                                         
00023	SOC 389                                                                         
00024	SOC 389                                                                         
00025	SOC 389                                                                         
00026	SOC 389                                                                         
00027	SOC 389                                                                         
00028	SOC 389                                                                         
00029	SOC 446W                                                                        
00030	SOC 457W                                                                        
00031	SOC 494R                                                                        
00032	SOC 500                                                                         
00033	SOC 502                                                                         
00034	SOC 509                                                                         
00035	SOC 531                                                                         
00036	SOC 551                                                                         
00037	SOC 560                                                                         
00038	SOC 563                                                                         
00039	SOC 585                                                                         
