ID	TITLE
00001	AFS 190                                                                         
00002	AFS 190                                                                         
00003	AFS 221                                                                         
00004	AFS 270                                                                         
00005	AFS 345                                                                         
00006	AFS 389                                                                         
00007	AFS 389                                                                         
00008	AFS 389                                                                         
00009	AFS 389                                                                         
00010	AFS 389                                                                         
00011	AFS 389                                                                         
00012	AFS 389W                                                                        
00013	AFS 389W                                                                        
