ID	TITLE
00001	AMST 190                                                                        
00002	AMST 201W                                                                       
00003	AMST 285                                                                        
00004	AMST 285                                                                        
00005	AMST 340                                                                        
00006	AMST 385                                                                        
00007	AMST 385                                                                        
00008	AMST 385W                                                                       
00009	AMST 385W                                                                       
00010	AMST 489W                                                                       
00011	AMST 495BW                                                                      
00012	AMST 499R                                                                       
