ID	TITLE
00001	ANES 505B                                                                       
00002	ANES 512A                                                                       
00003	ANES 513                                                                        
00004	ANES 536A                                                                       
00005	ANES 540A                                                                       
00006	ANES 561A                                                                       
00007	ANES 596R                                                                       
00008	ANES 611A                                                                       
00009	ANES 611C                                                                       
00010	ANES 620                                                                        
00011	ANES 660A                                                                       
00012	ANES 660C                                                                       
00013	ANES 680A                                                                       
00014	ANES 680C                                                                       
00015	ANES 695R                                                                       
00016	ANES 699R                                                                       
00017	ANES 840                                                                        
