ID	TITLE
00001	CHEM 190                                                                        
00002	CHEM 202                                                                        
00003	CHEM 202L                                                                       
00004	CHEM 203Z                                                                       
00005	CHEM 203ZL                                                                      
00006	CHEM 204                                                                        
00007	CHEM 204L                                                                       
00008	CHEM 205                                                                        
00009	CHEM 205L                                                                       
00010	CHEM 300L                                                                       
00011	CHEM 322                                                                        
00012	CHEM 327                                                                        
00013	CHEM 340                                                                        
00014	CHEM 343                                                                        
00015	CHEM 370                                                                        
00016	CHEM 371L                                                                       
00017	CHEM 371LW                                                                      
00018	CHEM 371LW                                                                      
00019	CHEM 392R                                                                       
00020	CHEM 399R                                                                       
00021	CHEM 470                                                                        
00022	CHEM 470                                                                        
00023	CHEM 495BW                                                                      
00024	CHEM 496R                                                                       
00025	CHEM 499R                                                                       
00026	CHEM 504                                                                        
00027	CHEM 523                                                                        
00028	CHEM 524                                                                        
00029	CHEM 532                                                                        
00030	CHEM 534                                                                        
00031	CHEM 575R                                                                       
00032	CHEM 597R                                                                       
00033	CHEM 599R                                                                       
00034	CHEM 729R                                                                       
00035	CHEM 729R                                                                       
00036	CHEM 729R                                                                       
00037	CHEM 798B                                                                       
00038	CHEM 798C                                                                       
00039	CHEM 798D                                                                       
00040	CHEM 799R                                                                       
