ID	TITLE
00001	CHN 102                                                                         
00002	CHN 202                                                                         
00003	CHN 203                                                                         
00004	CHN 302                                                                         
00005	CHN 336                                                                         
00006	CHN 373W                                                                        
00007	CHN 375                                                                         
00008	CHN 392R                                                                        
00009	CHN 394W                                                                        
00010	CHN 402W                                                                        
00011	CHN 403W                                                                        
