ID	TITLE
00001	ENG 190                                                                         
00002	ENG 190                                                                         
00003	ENG 205                                                                         
00004	ENG 210W                                                                        
00005	ENG 210W                                                                        
00006	ENG 213W                                                                        
00007	ENG 216                                                                         
00008	ENG 256W                                                                        
00009	ENG 262                                                                         
00010	ENG 290                                                                         
00011	ENG 290W                                                                        
00012	ENG 303W                                                                        
00013	ENG 304W                                                                        
00014	ENG 310W                                                                        
00015	ENG 311RW                                                                       
00016	ENG 317W                                                                        
00017	ENG 321W                                                                        
00018	ENG 332W                                                                        
00019	ENG 342RW                                                                       
00020	ENG 345W                                                                        
00021	ENG 356W                                                                        
00022	ENG 359W                                                                        
00023	ENG 366W                                                                        
00024	ENG 368W                                                                        
00025	ENG 370W                                                                        
00026	ENG 384RW                                                                       
00027	ENG 385W                                                                        
00028	ENG 385W                                                                        
00029	ENG 385W                                                                        
00030	ENG 388W                                                                        
00031	ENG 388W                                                                        
00032	ENG 389                                                                         
00033	ENG 389W                                                                        
00034	ENG 389W                                                                        
00035	ENG 389W                                                                        
00036	ENG 389W                                                                        
00037	ENG 475W                                                                        
00038	ENG 482RW                                                                       
00039	ENG 489                                                                         
00040	ENG 489W                                                                        
00041	ENG 495BW                                                                       
00042	ENG 496R                                                                        
00043	ENG 599R                                                                        
00044	ENG 711R                                                                        
00045	ENG 752R                                                                        
00046	ENG 789                                                                         
00047	ENG 789                                                                         
00048	ENG 789                                                                         
00049	ENG 789                                                                         
00050	ENG 789                                                                         
00051	ENG 797R                                                                        
00052	ENG 798R                                                                        
00053	ENG 799R                                                                        
