ID	TITLE
00001	HIST 150                                                                        
00002	HIST 190                                                                        
00003	HIST 190                                                                        
00004	HIST 190                                                                        
00005	HIST 190                                                                        
00006	HIST 190                                                                        
00007	HIST 206W                                                                       
00008	HIST 211                                                                        
00009	HIST 221                                                                        
00010	HIST 239                                                                        
00011	HIST 241                                                                        
00012	HIST 241                                                                        
00013	HIST 241                                                                        
00014	HIST 267                                                                        
00015	HIST 268                                                                        
00016	HIST 270                                                                        
00017	HIST 285                                                                        
00018	HIST 285                                                                        
00019	HIST 285                                                                        
00020	HIST 285                                                                        
00021	HIST 285W                                                                       
00022	HIST 296                                                                        
00023	HIST 296                                                                        
00024	HIST 296                                                                        
00025	HIST 296                                                                        
00026	HIST 296                                                                        
00027	HIST 323                                                                        
00028	HIST 327W                                                                       
00029	HIST 340                                                                        
00030	HIST 342                                                                        
00031	HIST 344                                                                        
00032	HIST 353                                                                        
00033	HIST 361                                                                        
00034	HIST 363W                                                                       
00035	HIST 373                                                                        
00036	HIST 374W                                                                       
00037	HIST 385                                                                        
00038	HIST 385                                                                        
00039	HIST 385                                                                        
00040	HIST 385                                                                        
00041	HIST 385W                                                                       
00042	HIST 396                                                                        
00043	HIST 396                                                                        
00044	HIST 396                                                                        
00045	HIST 398R                                                                       
00046	HIST 398RW                                                                      
00047	HIST 407W                                                                       
00048	HIST 438W                                                                       
00049	HIST 442W                                                                       
00050	HIST 444W                                                                       
00051	HIST 461W                                                                       
00052	HIST 487RW                                                                      
00053	HIST 488RW                                                                      
00054	HIST 494R                                                                       
00055	HIST 495A                                                                       
00056	HIST 495BW                                                                      
00057	HIST 497W                                                                       
00058	HIST 498R                                                                       
00059	HIST 562R                                                                       
00060	HIST 584                                                                        
00061	HIST 585                                                                        
00062	HIST 585                                                                        
00063	HIST 585                                                                        
00064	HIST 585                                                                        
00065	HIST 585                                                                        
00066	HIST 585P                                                                       
00067	HIST 596R                                                                       
00068	HIST 596R                                                                       
00069	HIST 596R                                                                       
00070	HIST 597R                                                                       
00071	HIST 599R                                                                       
00072	HIST 790B                                                                       
00073	HIST 799R                                                                       
