ID	TITLE
00001	HLTH 100                                                                        
00002	HLTH 200                                                                        
00003	HLTH 207                                                                        
00004	HLTH 210                                                                        
00005	HLTH 241                                                                        
00006	HLTH 306                                                                        
00007	HLTH 318                                                                        
00008	HLTH 321                                                                        
00009	HLTH 324                                                                        
00010	HLTH 325                                                                        
00011	HLTH 334                                                                        
00012	HLTH 335                                                                        
00013	HLTH 350R                                                                       
00014	HLTH 352                                                                        
00015	HLTH 353                                                                        
00016	HLTH 369                                                                        
00017	HLTH 370                                                                        
00018	HLTH 374                                                                        
00019	HLTH 385                                                                        
00020	HLTH 385                                                                        
00021	HLTH 385                                                                        
00022	HLTH 385                                                                        
00023	HLTH 385                                                                        
00024	HLTH 385                                                                        
00025	HLTH 385                                                                        
00026	HLTH 385W                                                                       
00027	HLTH 397R                                                                       
00028	HLTH 399R                                                                       
00029	HLTH 415                                                                        
00030	HLTH 420                                                                        
00031	HLTH 440                                                                        
00032	HLTH 470                                                                        
00033	HLTH 485                                                                        
00034	HLTH 485                                                                        
00035	HLTH 495BW                                                                      
00036	HLTH 497R                                                                       
00037	HLTH 499R                                                                       
