ID	TITLE
00001	HPM 500                                                                         
00002	HPM 511                                                                         
00003	HPM 522                                                                         
00004	HPM 523                                                                         
00005	HPM 525                                                                         
00006	HPM 540                                                                         
00007	HPM 545                                                                         
00008	HPM 550                                                                         
00009	HPM 554                                                                         
00010	HPM 556                                                                         
00011	HPM 557                                                                         
00012	HPM 559                                                                         
00013	HPM 561                                                                         
00014	HPM 562                                                                         
00015	HPM 569                                                                         
00016	HPM 575                                                                         
00017	HPM 586                                                                         
00018	HPM 592                                                                         
00019	HPM 595                                                                         
00020	HPM 596                                                                         
00021	HPM 597R                                                                        
00022	HPM 598R                                                                        
00023	HPM 599R                                                                        
00024	HPM 720R                                                                        
00025	HPM 730                                                                         
00026	HPM 797R                                                                        
00027	HPM 798R                                                                        
00028	HPM 799R                                                                        
