ID	TITLE
00001	MDIV 600                                                                        
00002	MDIV 600                                                                        
00003	MDIV 600                                                                        
00004	MDIV 600                                                                        
00005	MDIV 600                                                                        
00006	MDIV 600                                                                        
00007	MDIV 600                                                                        
00008	MDIV 650R                                                                       
00009	MDIV 995R                                                                       
00010	MDIV 997R                                                                       
00011	MDIV 999R                                                                       
