ID	TITLE
00001	MDPH 501R                                                                       
00002	MDPH 508R                                                                       
00003	MDPH 600R                                                                       
00004	MDPH 605R                                                                       
00005	MDPH 610R                                                                       
00006	MDPH 615R                                                                       
00007	MDPH 620R                                                                       
00008	MDPH 625R                                                                       
00009	MDPH 630R                                                                       
00010	MDPH 635R                                                                       
00011	MDPH 640R                                                                       
00012	MDPH 645R                                                                       
00013	MDPH 650R                                                                       
00014	MDPH 660R                                                                       
00015	MDPH 670R                                                                       
00016	MDPH 799R                                                                       
00017	MDPH 799R                                                                       
