ID	TITLE
00001	MSCR 500                                                                        
00002	MSCR 509                                                                        
00003	MSCR 520                                                                        
00004	MSCR 533                                                                        
00005	MSCR 534                                                                        
00006	MSCR 536                                                                        
00007	MSCR 591                                                                        
00008	MSCR 592                                                                        
00009	MSCR 593                                                                        
00010	MSCR 594A                                                                       
00011	MSCR 594B                                                                       
00012	MSCR 599R                                                                       
00013	MSCR 794A                                                                       
00014	MSCR 794B                                                                       
