ID	TITLE
00001	PHYS 116                                                                        
00002	PHYS 117                                                                        
00003	PHYS 125                                                                        
00004	PHYS 142                                                                        
00005	PHYS 152                                                                        
00006	PHYS 190                                                                        
00007	PHYS 190                                                                        
00008	PHYS 190                                                                        
00009	PHYS 212                                                                        
00010	PHYS 222                                                                        
00011	PHYS 227                                                                        
00012	PHYS 311                                                                        
00013	PHYS 365                                                                        
00014	PHYS 397R                                                                       
00015	PHYS 422                                                                        
00016	PHYS 430                                                                        
00017	PHYS 444W                                                                       
00018	PHYS 445W                                                                       
00019	PHYS 461                                                                        
00020	PHYS 463                                                                        
00021	PHYS 495A                                                                       
00022	PHYS 495BW                                                                      
00023	PHYS 499R                                                                       
00024	PHYS 503                                                                        
00025	PHYS 504                                                                        
00026	PHYS 530                                                                        
00027	PHYS 544                                                                        
00028	PHYS 590A                                                                       
00029	PHYS 590B                                                                       
00030	PHYS 597R                                                                       
00031	PHYS 599R                                                                       
00032	PHYS 731R                                                                       
00033	PHYS 751R                                                                       
00034	PHYS 796                                                                        
00035	PHYS 799R                                                                       
