ID	TITLE
00001	SOC 101                                                                         
00002	SOC 150                                                                         
00003	SOC 190                                                                         
00004	SOC 190                                                                         
00005	SOC 213                                                                         
00006	SOC 214                                                                         
00007	SOC 221                                                                         
00008	SOC 230                                                                         
00009	SOC 245                                                                         
00010	SOC 247                                                                         
00011	SOC 248                                                                         
00012	SOC 275                                                                         
00013	SOC 289                                                                         
00014	SOC 348                                                                         
00015	SOC 350                                                                         
00016	SOC 355W                                                                        
00017	SOC 370B                                                                        
00018	SOC 370L                                                                        
00019	SOC 389                                                                         
00020	SOC 389                                                                         
00021	SOC 389                                                                         
00022	SOC 389                                                                         
00023	SOC 389                                                                         
00024	SOC 389                                                                         
00025	SOC 389                                                                         
00026	SOC 389                                                                         
00027	SOC 389                                                                         
00028	SOC 446W                                                                        
00029	SOC 457W                                                                        
00030	SOC 461                                                                         
00031	SOC 489                                                                         
00032	SOC 489                                                                         
00033	SOC 489                                                                         
00034	SOC 489                                                                         
00035	SOC 494R                                                                        
00036	SOC 495BW                                                                       
00037	SOC 498R                                                                        
00038	SOC 501                                                                         
00039	SOC 506                                                                         
00040	SOC 562                                                                         
00041	SOC 585                                                                         
00042	SOC 585                                                                         
00043	SOC 585                                                                         
00044	SOC 585                                                                         
00045	SOC 590R                                                                        
00046	SOC 767                                                                         
